 S01E01_winter_is_coming.json S01E02_the_kingsroad.json S01E03_lord_snow.json S01E04_cripples,_bastards_and_broken_things.json S01E05_the_wolf_and_the_lion.json S01E06_a_golden_crown.json S01E07_you_win_or_you_die.json S01E08_the_pointy_end.json S01E09_baelor.json S01E10_fire_and_blood.json S02E01_the_north_remembers.json S02E02_the_night_lands.json S02E03_what_is_dead_may_never_die.json S02E04_garden_of_bones.json S02E05_the_ghost_of_harrenhal.json S02E06_the_old_gods_and_the_new.json S02E07_a_man_without_honor.json S02E08_the_prince_of_winterfell.json S02E09_blackwater.json S02E10_valar_morghulis.json S03E01_valar_dohaeris.json S03E02_dark_wings,_dark_words.json S03E03_walk_of_punishment.json S03E04_and_now_his_watch_is_ended.json S03E05_kissed_by_fire.json S03E06_the_climb.json S03E07_the_bear_and_the_maiden_fair.json S03E08_second_sons.json S03E09_the_rains_of_castamere.json S03E10_mhysa.json S04E01_two_swords.json S04E02_the_lion_and_the_rose.json S04E03_breaker_of_chains.json S04E04_oathkeeper.json S04E05_first_of_his_name.json S04E06_the_laws_of_gods_and_men.json S04E07_mockingbird.json S04E08_the_mountain_and_the_viper.json S04E09_the_watchers_on_the_wall.json S04E10_the_children.json S05E01_the_wars_to_come.json S05E02_the_house_of_black_and_white.json S05E03_high_sparrow.json S05E04_sons_of_the_harpy.json S05E05_kill_the_boy.json S05E06_unbowed,_unbent,_unbroken.json S05E07_the_gift.json S05E08_hardhome.json S05E09_the_dance_of_dragons.json S05E10_mother's_mercy.json S06E01_the_red_woman.json S06E02_home.json S06E03_oathbreaker.json S06E04_book_of_the_stranger.json S06E05_the_door.json
captain -0.648666198096 -0.504518154075 -0.486499648572 -0.900925275134 -0.522536659578 -0.594610681588 -0.522536659578 -0.612629187091 -0.756777231112 -0.46848114307 -0.882906769631 -0.378388615556 -0.504518154075 -0.828851253123 -0.504518154075 -0.414425626562 -0.216222066032 -0.27027758254 -0.414425626562 -0.648666198096 -0.810832747621 -1.00903630815 -1.24327687968 -1.3513879127 -2.30636870434 -0.288296088043 -0.666684703599 -0.576592176086 -0.54055516508 -1.15318435217 -0.594610681588 -0.882906769631 -0.306314593546 -0.360370110054 -0.252259077037 -0.504518154075 -0.486499648572 -0.576592176086 -0.360370110054 -1.26129538519 -0.198203560529 -0.504518154075 -0.432444132064 -0.756777231112 -0.522536659578 -0.360370110054 -0.504518154075 -0.450462637567 -0.594610681588 -0.288296088043 -0.378388615556 -0.486499648572 -0.486499648572 -0.684703209102 -0.432444132064
hate -0.396407121059 -0.558573670583 -0.54055516508 -0.846869758626 -0.684703209102 -0.666684703599 -0.486499648572 -0.54055516508 -0.558573670583 -0.648666198096 -0.504518154075 -0.252259077037 -0.252259077037 -0.612629187091 -0.288296088043 -0.378388615556 -0.27027758254 -0.126129538519 -0.342351604551 -0.27027758254 -0.594610681588 -0.612629187091 -1.06309182466 -1.42346193471 -1.62166549524 -0.576592176086 -0.648666198096 -0.450462637567 -0.486499648572 -0.936962286139 -0.774795736615 -0.594610681588 -0.46848114307 -0.612629187091 -0.504518154075 -0.324333099048 -0.594610681588 -0.558573670583 -0.846869758626 -1.06309182466 -0.324333099048 -0.648666198096 -0.54055516508 -0.73875872561 -0.288296088043 -0.288296088043 -0.558573670583 -0.414425626562 -0.666684703599 -0.396407121059 -0.342351604551 -0.414425626562 -0.594610681588 -0.46848114307 -0.504518154075
dynasti -0.27027758254 -0.396407121059 -0.198203560529 -0.414425626562 -0.288296088043 -0.648666198096 -0.324333099048 -0.342351604551 -0.396407121059 -0.828851253123 -0.576592176086 -0.432444132064 -0.234240571535 -0.864888264129 -0.234240571535 -0.360370110054 -0.414425626562 -0.252259077037 -0.27027758254 -0.522536659578 -0.450462637567 -0.828851253123 -0.648666198096 -0.900925275134 -1.60364698974 -0.324333099048 -0.54055516508 -0.648666198096 -0.378388615556 -0.414425626562 -0.702721714604 -0.234240571535 -0.324333099048 -0.234240571535 -0.630647692594 -0.162166549524 -0.46848114307 -0.684703209102 -0.432444132064 -1.15318435217 -0.432444132064 -0.594610681588 -0.630647692594 -1.02705481365 -0.342351604551 -0.882906769631 -1.08111033016 -0.828851253123 -0.900925275134 -1.04507331916 -0.774795736615 -0.594610681588 -0.558573670583 -0.612629187091 -0.432444132064
whose -0.54055516508 -0.27027758254 -0.324333099048 -0.774795736615 -0.702721714604 -0.684703209102 -0.360370110054 -0.486499648572 -0.396407121059 -0.504518154075 -0.522536659578 -0.234240571535 -0.234240571535 -0.558573670583 -0.252259077037 -0.414425626562 -0.252259077037 -0.0900925275134 -0.324333099048 -0.414425626562 -0.882906769631 -0.684703209102 -1.22525837418 -1.71175802275 -1.49553595672 -0.360370110054 -0.612629187091 -0.522536659578 -0.324333099048 -0.630647692594 -0.54055516508 -0.486499648572 -0.324333099048 -0.342351604551 -0.324333099048 -0.288296088043 -0.46848114307 -0.630647692594 -0.414425626562 -1.06309182466 -0.594610681588 -0.450462637567 -0.522536659578 -0.991017802647 -0.46848114307 -0.576592176086 -0.666684703599 -0.666684703599 -0.936962286139 -0.558573670583 -0.54055516508 -0.450462637567 -0.342351604551 -0.612629187091 -0.486499648572
accus -0.198203560529 -0.126129538519 -0.0900925275134 -0.288296088043 -0.252259077037 -0.396407121059 -0.162166549524 -0.252259077037 -0.27027758254 -0.558573670583 -0.252259077037 -0.198203560529 -0.0360370110054 -0.306314593546 -0.288296088043 -0.144148044021 -0.396407121059 -0.198203560529 -0.198203560529 -0.432444132064 -0.288296088043 -0.702721714604 -0.756777231112 -0.882906769631 -1.45949894572 -0.234240571535 -0.324333099048 -0.396407121059 -0.216222066032 -0.324333099048 -0.450462637567 -0.126129538519 -0.180185055027 -0.288296088043 -0.306314593546 -0.0900925275134 -0.378388615556 -0.558573670583 -0.324333099048 -1.13516584667 -0.306314593546 -0.27027758254 -0.306314593546 -0.684703209102 -0.46848114307 -0.792814242118 -0.432444132064 -0.46848114307 -0.900925275134 -0.414425626562 -0.46848114307 -0.46848114307 -0.594610681588 -0.558573670583 -0.252259077037
accur -0.288296088043 -0.216222066032 -0.216222066032 -0.558573670583 -0.324333099048 -0.360370110054 -0.360370110054 -0.396407121059 -0.306314593546 -0.594610681588 -0.360370110054 -0.234240571535 -0.252259077037 -0.324333099048 -0.0900925275134 -0.198203560529 -0.162166549524 -0.198203560529 -0.198203560529 -0.378388615556 -0.180185055027 -0.522536659578 -0.810832747621 -0.864888264129 -1.47751745122 -0.234240571535 -0.396407121059 -0.324333099048 -0.180185055027 -0.396407121059 -0.342351604551 -0.432444132064 -0.0900925275134 -0.306314593546 -0.198203560529 -0.144148044021 -0.252259077037 -0.486499648572 -0.252259077037 -0.864888264129 -0.234240571535 -0.126129538519 -0.27027758254 -0.73875872561 -0.46848114307 -0.306314593546 -0.576592176086 -0.360370110054 -0.342351604551 -0.234240571535 -0.252259077037 -0.360370110054 -0.234240571535 -0.360370110054 -0.288296088043
snipe -0.342351604551 -0.288296088043 -0.252259077037 -0.558573670583 -0.216222066032 -0.27027758254 -0.288296088043 -0.324333099048 -0.306314593546 -0.396407121059 -0.342351604551 -0.216222066032 -0.216222066032 -0.486499648572 -0.162166549524 -0.27027758254 -0.306314593546 -0.0900925275134 -0.252259077037 -0.342351604551 -0.288296088043 -0.594610681588 -0.756777231112 -0.666684703599 -0.991017802647 -0.27027758254 -0.324333099048 -0.288296088043 -0.27027758254 -0.360370110054 -0.486499648572 -0.288296088043 -0.234240571535 -0.396407121059 -0.180185055027 -0.144148044021 -0.252259077037 -0.324333099048 -0.378388615556 -0.576592176086 -0.198203560529 -0.27027758254 -0.198203560529 -0.612629187091 -0.378388615556 -0.288296088043 -0.324333099048 -0.252259077037 -0.414425626562 -0.432444132064 -0.288296088043 -0.252259077037 -0.342351604551 -0.414425626562 -0.252259077037
sorri -0.198203560529 -0.108111033016 -0.162166549524 -0.306314593546 -0.324333099048 -0.234240571535 -0.378388615556 -0.27027758254 -0.306314593546 -0.306314593546 -0.27027758254 -0.0900925275134 -0.126129538519 -0.54055516508 -0.0720740220107 -0.144148044021 -0.126129538519 -0.0720740220107 -0.144148044021 -0.144148044021 -0.486499648572 -0.46848114307 -0.630647692594 -0.828851253123 -0.972999297145 -0.144148044021 -0.306314593546 -0.324333099048 -0.234240571535 -0.46848114307 -0.396407121059 -0.324333099048 -0.288296088043 -0.180185055027 -0.162166549524 -0.108111033016 -0.360370110054 -0.378388615556 -0.46848114307 -0.73875872561 -0.144148044021 -0.450462637567 -0.306314593546 -0.630647692594 -0.27027758254 -0.252259077037 -0.216222066032 -0.504518154075 -0.414425626562 -0.288296088043 -0.198203560529 -0.126129538519 -0.252259077037 -0.252259077037 -0.414425626562
scold -0.306314593546 -0.252259077037 -0.252259077037 -0.306314593546 -0.216222066032 -0.324333099048 -0.27027758254 -0.378388615556 -0.360370110054 -0.126129538519 -0.288296088043 -0.216222066032 -0.126129538519 -0.46848114307 -0.126129538519 -0.27027758254 -0.198203560529 -0.0720740220107 -0.162166549524 -0.216222066032 -0.324333099048 -0.396407121059 -0.594610681588 -0.576592176086 -0.73875872561 -0.288296088043 -0.360370110054 -0.126129538519 -0.144148044021 -0.27027758254 -0.414425626562 -0.360370110054 -0.234240571535 -0.216222066032 -0.180185055027 -0.180185055027 -0.234240571535 -0.162166549524 -0.180185055027 -0.360370110054 -0.162166549524 -0.342351604551 -0.198203560529 -0.378388615556 -0.252259077037 -0.198203560529 -0.306314593546 -0.324333099048 -0.396407121059 -0.342351604551 -0.216222066032 -0.126129538519 -0.522536659578 -0.432444132064 -0.198203560529
descript -0.27027758254 -0.216222066032 -0.342351604551 -0.342351604551 -0.216222066032 -0.252259077037 -0.252259077037 -0.198203560529 -0.324333099048 -0.378388615556 -0.162166549524 -0.108111033016 -0.126129538519 -0.306314593546 -0.0900925275134 -0.108111033016 -0.126129538519 -0.108111033016 -0.0720740220107 -0.126129538519 -0.324333099048 -0.46848114307 -0.54055516508 -0.774795736615 -1.24327687968 -0.162166549524 -0.234240571535 -0.234240571535 -0.180185055027 -0.288296088043 -0.27027758254 -0.198203560529 -0.0900925275134 -0.126129538519 -0.234240571535 -0.144148044021 -0.180185055027 -0.27027758254 -0.27027758254 -0.702721714604 -0.198203560529 -0.234240571535 -0.198203560529 -0.414425626562 -0.27027758254 -0.306314593546 -0.216222066032 -0.306314593546 -0.450462637567 -0.180185055027 -0.126129538519 -0.324333099048 -0.342351604551 -0.198203560529 -0.144148044021
