 S01E01_winter_is_coming.json S01E02_the_kingsroad.json S01E03_lord_snow.json S01E04_cripples,_bastards_and_broken_things.json S01E05_the_wolf_and_the_lion.json S01E06_a_golden_crown.json S01E07_you_win_or_you_die.json S01E08_the_pointy_end.json S01E09_baelor.json S01E10_fire_and_blood.json S02E01_the_north_remembers.json S02E02_the_night_lands.json S02E03_what_is_dead_may_never_die.json S02E04_garden_of_bones.json S02E05_the_ghost_of_harrenhal.json S02E06_the_old_gods_and_the_new.json S02E07_a_man_without_honor.json S02E08_the_prince_of_winterfell.json S02E09_blackwater.json S02E10_valar_morghulis.json S03E01_valar_dohaeris.json S03E02_dark_wings,_dark_words.json S03E03_walk_of_punishment.json S03E04_and_now_his_watch_is_ended.json S03E05_kissed_by_fire.json S03E06_the_climb.json S03E07_the_bear_and_the_maiden_fair.json S03E08_second_sons.json S03E09_the_rains_of_castamere.json S03E10_mhysa.json S04E01_two_swords.json S04E02_the_lion_and_the_rose.json S04E03_breaker_of_chains.json S04E04_oathkeeper.json S04E05_first_of_his_name.json S04E06_the_laws_of_gods_and_men.json S04E07_mockingbird.json S04E08_the_mountain_and_the_viper.json S04E09_the_watchers_on_the_wall.json S04E10_the_children.json S05E01_the_wars_to_come.json S05E02_the_house_of_black_and_white.json S05E03_high_sparrow.json S05E04_sons_of_the_harpy.json S05E05_kill_the_boy.json S05E06_unbowed,_unbent,_unbroken.json S05E07_the_gift.json S05E08_hardhome.json S05E09_the_dance_of_dragons.json S05E10_mother's_mercy.json S06E01_the_red_woman.json S06E02_home.json S06E03_oathbreaker.json S06E04_book_of_the_stranger.json S06E05_the_door.json
forti 0.0 2.23392285467 0.0 0.0 4.46784570935 0.0 0.0 2.23392285467 0.0 0.0 0.0 0.0 0.0 0.0 2.23392285467 2.23392285467 0.0 0.0 0.0 0.0 5.58480713668 0.0 0.0 0.0 4.46784570935 0.0 3.35088428201 0.0 0.0 2.23392285467 0.0 0.0 2.23392285467 0.0 0.0 0.0 0.0 0.0 0.0 3.35088428201 3.35088428201 0.0 0.0 3.35088428201 0.0 3.35088428201 0.0 4.46784570935 2.23392285467 0.0 0.0 0.0 0.0 0.0 4.46784570935
outburst 0.0 0.0 5.47310342247 4.10482756685 0.0 0.0 0.0 4.10482756685 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.57793098932 0.0 0.0 8.2096551337 0.0 0.0 2.73655171123 0.0 8.2096551337 0.0 0.0 2.73655171123 2.73655171123 0.0 0.0 0.0 0.0 0.0 0.0 4.10482756685 15.0510344118 5.47310342247 2.73655171123 0.0 0.0
smart 1.92562149502 0.0 1.92562149502 2.88843224253 2.88843224253 0.0 0.0 1.92562149502 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.92562149502 0.0 0.0 1.92562149502 1.92562149502 1.92562149502 0.0 0.0 0.0 0.0 1.92562149502 0.0 2.88843224253 0.0 1.92562149502 0.0 2.88843224253 0.0 0.0 1.92562149502 1.92562149502 0.0 1.92562149502 0.0 1.92562149502 0.0 0.0 0.0 1.92562149502 2.88843224253 0.0 0.0 0.0 1.92562149502 0.0 0.0
sheep 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.46948892599 0.0 0.0 0.0 0.0 0.0 2.46948892599 0.0 0.0 0.0 0.0 0.0 0.0 2.46948892599 4.93897785197 4.93897785197 0.0 2.46948892599 0.0 0.0 0.0 2.46948892599 2.46948892599 0.0 0.0 0.0 0.0 0.0 0.0 4.93897785197 2.46948892599 2.46948892599 0.0 0.0 7.40846677796 0.0 0.0 0.0 0.0 3.70423338898 0.0 2.46948892599 0.0 0.0 2.46948892599 0.0
podrick 0.0 0.0 2.46948892599 2.46948892599 0.0 2.46948892599 0.0 0.0 0.0 2.46948892599 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.46948892599 7.40846677796 6.17372231496 3.70423338898 3.70423338898 0.0 0.0 3.70423338898 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.70423338898 0.0 3.70423338898 0.0 0.0 3.70423338898 0.0 3.70423338898 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.46948892599 0.0
nightmar 3.70423338898 2.46948892599 0.0 0.0 3.70423338898 0.0 3.70423338898 0.0 0.0 0.0 4.93897785197 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.70423338898 3.70423338898 2.46948892599 3.70423338898 3.70423338898 0.0 0.0 3.70423338898 0.0 2.46948892599 0.0 0.0 2.46948892599 0.0 0.0 0.0 0.0 3.70423338898 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.46948892599 0.0 0.0 0.0 0.0 0.0 0.0
situat 2.23392285467 6.70176856402 4.46784570935 4.46784570935 4.46784570935 3.35088428201 0.0 5.58480713668 2.23392285467 2.23392285467 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.35088428201 0.0 0.0 0.0 0.0 0.0 0.0 2.23392285467 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.23392285467 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.23392285467 3.35088428201 0.0 2.23392285467 5.58480713668 2.23392285467
sheer 4.10482756685 0.0 0.0 0.0 0.0 0.0 0.0 2.73655171123 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.10482756685 5.47310342247 6.84137927809 5.47310342247 0.0 0.0 2.73655171123 2.73655171123 0.0 0.0 0.0 0.0 0.0 4.10482756685 0.0 0.0 0.0 0.0 8.2096551337 0.0 0.0 0.0 2.73655171123 0.0 0.0 0.0 0.0 4.10482756685 0.0 0.0 0.0 0.0 0.0 2.73655171123
free 0.0 2.12578841213 0.0 0.0 0.0 3.1886826182 0.0 0.0 0.0 2.12578841213 0.0 0.0 0.0 2.12578841213 0.0 0.0 0.0 0.0 0.0 0.0 2.12578841213 0.0 2.12578841213 2.12578841213 3.1886826182 0.0 0.0 0.0 0.0 3.1886826182 2.12578841213 0.0 0.0 0.0 0.0 2.12578841213 0.0 0.0 2.12578841213 3.1886826182 0.0 2.12578841213 0.0 2.12578841213 0.0 2.12578841213 0.0 0.0 0.0 2.12578841213 0.0 0.0 0.0 4.25157682426 0.0
frey 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13.701838819 0.0 19.7915449608 6.08970614178 6.08970614178 0.0 0.0 0.0 0.0 3.04485307089 4.56727960633 0.0 4.56727960633 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.61213267722 10.6569857481 0.0 0.0 0.0 0.0 0.0 3.04485307089 7.61213267722 0.0
cleftjaw 0.0 0.0 0.0 0.0 2.23392285467 0.0 2.23392285467 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.23392285467 0.0 2.23392285467 0.0 3.35088428201 0.0 0.0 0.0 0.0 0.0 3.35088428201 3.35088428201 0.0 0.0 3.35088428201 0.0 0.0 0.0 0.0 0.0 0.0 2.23392285467 2.23392285467 0.0 2.23392285467 2.23392285467 4.46784570935 2.23392285467 0.0 0.0 0.0 6.70176856402 2.23392285467 2.23392285467 0.0
mercenari 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.32715148331 0.0 0.0 0.0 0.0 2.88476765554 2.88476765554 10.0966867944 0.0 2.88476765554 0.0 0.0 0.0 0.0 0.0 0.0 2.88476765554 2.88476765554 0.0 0.0 0.0 12.9814544499 5.76953531108 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.32715148331 0.0 0.0 4.32715148331 0.0 0.0 0.0 2.88476765554
mistress 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.46948892599 0.0 0.0 0.0 0.0 0.0 2.46948892599 4.93897785197 0.0 0.0 0.0 0.0 0.0 4.93897785197 2.46948892599 2.46948892599 6.17372231496 0.0 6.17372231496 0.0 2.46948892599 0.0 0.0 4.93897785197 3.70423338898 0.0 0.0 2.46948892599 0.0 0.0 2.46948892599 0.0 0.0 0.0 2.46948892599 2.46948892599 0.0 0.0
wrath 0.0 0.0 0.0 0.0 2.59856596826 0.0 0.0 0.0 0.0 0.0 2.59856596826 0.0 2.59856596826 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.59856596826 0.0 3.89784895239 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.89784895239 0.0 2.59856596826 0.0 3.89784895239 0.0 0.0 0.0 6.49641492065 0.0 0.0 5.19713193652 3.89784895239 2.59856596826 0.0 0.0 0.0 3.89784895239 3.89784895239 0.0
tobho 2.73655171123 0.0 0.0 0.0 4.10482756685 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.10482756685 2.73655171123 0.0 5.47310342247 2.73655171123 5.47310342247 0.0 0.0 4.10482756685 0.0 4.10482756685 0.0 4.10482756685 0.0 0.0 0.0 0.0 4.10482756685 0.0 0.0 6.84137927809 0.0 0.0 0.0 4.10482756685 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
selwyn 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.43114743201 0.0 0.0 0.0 4.43114743201 0.0 0.0 0.0 4.43114743201 0.0 0.0 0.0 0.0 4.43114743201 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.43114743201 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
puzzl 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.32715148331 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.88476765554 2.88476765554 14.4238382777 5.76953531108 0.0 4.32715148331 0.0 0.0 0.0 4.32715148331 0.0 0.0 0.0 0.0 2.88476765554 0.0 0.0 0.0 0.0 0.0 0.0 4.32715148331 0.0 0.0 2.88476765554 0.0 5.76953531108 0.0 0.0 0.0 0.0 0.0 2.88476765554
blaze 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.88476765554 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.76953531108 0.0 0.0 0.0 7.21191913885 2.88476765554 0.0 0.0 0.0 2.88476765554 0.0 0.0 0.0 11.5390706222 0.0 2.88476765554 0.0 0.0 0.0 11.5390706222 8.65430296663 0.0 0.0 0.0 0.0 2.88476765554 0.0 0.0 2.88476765554 7.21191913885 0.0
ritual 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.2096551337 2.73655171123 0.0 0.0 2.73655171123 0.0 0.0 0.0 2.73655171123 0.0 4.10482756685 0.0 6.84137927809 10.9462068449 0.0 0.0 0.0 2.73655171123 4.10482756685 0.0 0.0 5.47310342247 2.73655171123 8.2096551337 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.47310342247 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
steward 2.73655171123 0.0 2.73655171123 6.84137927809 0.0 0.0 2.73655171123 2.73655171123 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.73655171123 0.0 0.0 0.0 2.73655171123 2.73655171123 0.0 0.0 0.0 0.0 0.0 6.84137927809 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.73655171123 0.0 0.0 0.0 0.0 0.0 0.0 2.73655171123 2.73655171123 0.0 0.0 0.0 0.0 4.10482756685 0.0 0.0 0.0
dayn 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.04485307089 3.04485307089 6.08970614178 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.56727960633 3.04485307089 3.04485307089 9.13455921267 0.0 4.56727960633 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.04485307089 4.56727960633 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.04485307089 0.0 0.0
renew 0.0 2.73655171123 0.0 0.0 5.47310342247 0.0 0.0 0.0 0.0 0.0 2.73655171123 0.0 0.0 0.0 2.73655171123 2.73655171123 2.73655171123 0.0 0.0 0.0 0.0 0.0 0.0 2.73655171123 0.0 9.57793098932 0.0 2.73655171123 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.47310342247 0.0 2.73655171123 4.10482756685 0.0 0.0 0.0 4.10482756685 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
unabl 0.0 0.0 2.88476765554 0.0 0.0 4.32715148331 2.88476765554 0.0 0.0 0.0 0.0 0.0 0.0 5.76953531108 0.0 0.0 0.0 0.0 0.0 0.0 4.32715148331 0.0 2.88476765554 4.32715148331 12.9814544499 4.32715148331 0.0 0.0 0.0 0.0 0.0 0.0 2.88476765554 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.88476765554 0.0 0.0 0.0 0.0 0.0 0.0 4.32715148331 0.0 0.0
startl 2.34823968235 0.0 0.0 0.0 0.0 2.34823968235 0.0 0.0 4.69647936471 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.34823968235 0.0 4.69647936471 0.0 0.0 7.04471904706 5.87059920588 0.0 2.34823968235 2.34823968235 0.0 0.0 0.0 0.0 2.34823968235 2.34823968235 0.0 0.0 0.0 0.0 0.0 4.69647936471 0.0 2.34823968235 0.0 4.69647936471 2.34823968235 2.34823968235 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
isl 2.59856596826 0.0 0.0 5.19713193652 0.0 0.0 0.0 0.0 0.0 6.49641492065 0.0 0.0 0.0 2.59856596826 0.0 0.0 0.0 0.0 0.0 0.0 3.89784895239 0.0 0.0 3.89784895239 2.59856596826 0.0 3.89784895239 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.89784895239 3.89784895239 0.0 0.0 2.59856596826 3.89784895239 2.59856596826 0.0 0.0 0.0 0.0 0.0 2.59856596826 0.0 0.0 0.0 0.0
shagga 0.0 0.0 0.0 0.0 0.0 5.87059920588 0.0 0.0 0.0 0.0 2.34823968235 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.34823968235 0.0 0.0 0.0 0.0 2.34823968235 2.34823968235 2.34823968235 0.0 2.34823968235 0.0 2.34823968235 0.0 0.0 2.34823968235 0.0 0.0 2.34823968235 0.0 3.52235952353 0.0 2.34823968235 0.0 3.52235952353 2.34823968235 2.34823968235 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.34823968235 0.0 0.0 0.0
confus 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.10482756685 0.0 0.0 0.0 2.73655171123 0.0 0.0 0.0 0.0 0.0 0.0 2.73655171123 2.73655171123 4.10482756685 2.73655171123 4.10482756685 0.0 0.0 2.73655171123 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.73655171123 0.0 0.0 4.10482756685 5.47310342247 2.73655171123 5.47310342247 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
bite 0.0 0.0 0.0 2.46948892599 2.46948892599 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.46948892599 3.70423338898 0.0 4.93897785197 0.0 0.0 3.70423338898 2.46948892599 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.46948892599 0.0 2.46948892599 6.17372231496 0.0 0.0 2.46948892599 2.46948892599 0.0 3.70423338898 0.0 0.0 0.0 0.0 0.0 2.46948892599 0.0 0.0 2.46948892599
kin 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.62837200935 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
rang 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.76953531108 0.0 0.0 0.0 4.32715148331 0.0 4.32715148331 0.0 0.0 0.0 2.88476765554 5.76953531108 0.0 2.88476765554 0.0 0.0 4.32715148331 7.21191913885 0.0 0.0 2.88476765554 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.32715148331 8.65430296663 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.76953531108 0.0 0.0 0.0 0.0 0.0 0.0
breed 0.0 2.73655171123 0.0 0.0 0.0 0.0 2.73655171123 0.0 0.0 4.10482756685 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.73655171123 0.0 0.0 0.0 0.0 0.0 0.0 5.47310342247 4.10482756685 0.0 2.73655171123 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.73655171123 2.73655171123 0.0 5.47310342247 0.0 0.0 4.10482756685 2.73655171123 0.0 0.0 0.0 6.84137927809 0.0 0.0
independ 0.0 0.0 0.0 4.8283137373 0.0 0.0 3.21887582487 0.0 3.21887582487 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.21887582487 0.0 0.0 0.0 4.8283137373 9.6566274746 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.21887582487 0.0 0.0 6.43775164974 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.8283137373 0.0 0.0 0.0 4.8283137373 0.0 0.0
wast 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.56727960633 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.56727960633 12.1794122836 6.08970614178 0.0 0.0 0.0 0.0 4.56727960633 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.04485307089 12.1794122836 0.0 0.0 0.0 0.0 6.08970614178 0.0 0.0 0.0 4.56727960633 3.04485307089 0.0 0.0 0.0 3.04485307089 0.0
rank 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.88476765554 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.88476765554 4.32715148331 0.0 0.0 0.0 2.88476765554 0.0 0.0 0.0 0.0 0.0 0.0 7.21191913885 2.88476765554 0.0 5.76953531108 4.32715148331 0.0 0.0 2.88476765554 0.0 0.0 0.0 0.0 0.0 0.0 2.88476765554 0.0 0.0 2.88476765554 4.32715148331 0.0
protract 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 14.4299612532 0.0 0.0 0.0 0.0 0.0 0.0 8.24569214471 0.0 0.0 0.0 0.0 6.18426910853 0.0 0.0 0.0 0.0 10.3071151809 0.0 24.7370764341 0.0 0.0 0.0 0.0 30.9213455427 0.0 0.0 0.0 0.0 0.0 0.0
wash 3.70423338898 0.0 0.0 0.0 0.0 0.0 0.0 2.46948892599 0.0 0.0 3.70423338898 0.0 2.46948892599 0.0 2.46948892599 0.0 2.46948892599 0.0 0.0 3.70423338898 3.70423338898 2.46948892599 2.46948892599 3.70423338898 2.46948892599 2.46948892599 2.46948892599 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.70423338898 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
instruct 0.0 4.32715148331 0.0 0.0 0.0 0.0 0.0 7.21191913885 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.32715148331 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.76953531108 0.0 0.0 0.0 0.0 0.0 0.0 4.32715148331 2.88476765554 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.32715148331 0.0 0.0 0.0 4.32715148331 0.0 0.0 0.0 0.0 2.88476765554 5.76953531108 4.32715148331 0.0 4.32715148331 0.0 0.0
alreadi 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.43032582369 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.62021721579 0.0 0.0 0.0 0.0 0.0 12.6707602553 0.0 7.24043443159 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.24043443159 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.43032582369 14.4808688632 0.0 14.4808688632
vivid 4.10482756685 0.0 0.0 0.0 0.0 4.10482756685 0.0 0.0 2.73655171123 4.10482756685 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.73655171123 0.0 4.10482756685 4.10482756685 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.73655171123 0.0 0.0 0.0 0.0 0.0 0.0 4.10482756685 6.84137927809 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.10482756685 0.0 0.0 2.73655171123 0.0 0.0 2.73655171123
thick 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.73655171123 0.0 0.0 5.47310342247 0.0 0.0 5.47310342247 0.0 5.47310342247 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.73655171123 0.0 4.10482756685 5.47310342247 0.0 0.0 4.10482756685 0.0 4.10482756685 4.10482756685 8.2096551337 0.0 0.0 6.84137927809 0.0 5.47310342247
agre 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.73655171123 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.73655171123 0.0 0.0 8.2096551337 2.73655171123 0.0 8.2096551337 0.0 2.73655171123 0.0 2.73655171123 2.73655171123 0.0 0.0 0.0 0.0 0.0 2.73655171123 0.0 4.10482756685 0.0 0.0 0.0 4.10482756685 5.47310342247 0.0 0.0 4.10482756685 0.0 0.0 0.0 0.0 0.0 0.0 0.0
hood 3.89784895239 2.59856596826 0.0 7.79569790478 2.59856596826 0.0 0.0 2.59856596826 0.0 0.0 2.59856596826 3.89784895239 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.59856596826 3.89784895239 0.0 0.0 0.0 5.19713193652 0.0 2.59856596826 2.59856596826 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.59856596826 0.0 0.0 2.59856596826 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
toy 0.0 0.0 2.73655171123 0.0 0.0 0.0 2.73655171123 0.0 0.0 0.0 0.0 2.73655171123 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.73655171123 6.84137927809 0.0 0.0 0.0 0.0 0.0 4.10482756685 0.0 0.0 0.0 0.0 0.0 0.0 2.73655171123 0.0 8.2096551337 0.0 0.0 0.0 2.73655171123 0.0 0.0 0.0 4.10482756685 0.0 0.0 0.0 2.73655171123 4.10482756685 4.10482756685 0.0
nomin 0.0 0.0 0.0 0.0 0.0 2.88476765554 0.0 0.0 0.0 2.88476765554 0.0 0.0 0.0 11.5390706222 0.0 2.88476765554 0.0 0.0 0.0 0.0 0.0 4.32715148331 0.0 2.88476765554 2.88476765554 2.88476765554 0.0 0.0 4.32715148331 7.21191913885 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.32715148331 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.88476765554 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
attach 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.13455921267 4.56727960633 0.0 4.56727960633 3.04485307089 0.0 3.04485307089 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.56727960633 0.0 0.0 0.0 0.0 0.0 0.0 3.04485307089 4.56727960633 4.56727960633 0.0 0.0 4.56727960633 0.0 0.0 4.56727960633
top 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.21887582487 0.0 0.0 3.21887582487 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.04718956217 0.0 4.8283137373 0.0 16.0943791243 4.8283137373 0.0 17.7038170368 11.266065387 6.43775164974 3.21887582487 0.0 0.0 0.0
sometim 0.0 0.0 0.0 5.19713193652 2.59856596826 0.0 0.0 2.59856596826 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.59856596826 2.59856596826 5.19713193652 3.89784895239 2.59856596826 0.0 2.59856596826 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.89784895239 0.0 0.0 0.0 0.0 0.0 2.59856596826 0.0 0.0 3.89784895239 0.0 0.0 0.0 0.0 3.89784895239 5.19713193652
sarcast 0.0 0.0 0.0 2.12578841213 2.12578841213 2.12578841213 0.0 0.0 0.0 2.12578841213 0.0 0.0 0.0 3.1886826182 0.0 0.0 2.12578841213 0.0 0.0 0.0 0.0 2.12578841213 2.12578841213 4.25157682426 2.12578841213 0.0 0.0 0.0 0.0 2.12578841213 2.12578841213 0.0 3.1886826182 0.0 2.12578841213 0.0 3.1886826182 3.1886826182 0.0 2.12578841213 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.12578841213 0.0 0.0
master 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10.3071151809 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.18426910853 8.24569214471 8.24569214471 0.0 26.7984994703 35.044191615 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
too 0.0 0.0 0.0 2.73655171123 0.0 0.0 0.0 2.73655171123 0.0 5.47310342247 2.73655171123 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.10482756685 5.47310342247 0.0 0.0 4.10482756685 9.57793098932 0.0 0.0 0.0 0.0 2.73655171123 4.10482756685 4.10482756685 0.0 0.0 0.0 0.0 4.10482756685 0.0 0.0 0.0 0.0 0.0 2.73655171123 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
