NER
NP : sand snakes
NP : sandor
NP : sandor clegane
NP : sansa
NP : sansa stark
NP : savo
NP : second sons
NP : selmy
NP : selwyn
NP : selyse
NP : sept
NP : septa mordane
NP : septa unella
NP : ser alliser
NP : ser amory
NP : ser arthur
NP : ser barristan
NP : ser barristan selmy
NP : ser beric
NP : ser davos
NP : ser gerold
NP : ser gregor
NP : ser hugh
NP : ser ilyn
NP : ser ilyn payne
NP : ser jorah
NP : ser kevan
NP : ser loras
NP : ser mandon
NP : ser meryn
NP : ser meryn trant
NP : ser rodrik
NP : ser rodrik cassel
NP : ser vardis egen
NP : ser waymar
NP : seven
NP : seven kingdoms
NP : several bolton
NP : shae
NP : shagga
NP : shaggydog
NP : shireen
NP : siege
NP : sight
NP : silent sisters
NP : slaver
NP : slynt
NP : small council
NP : smalljon
NP : snow
NP : son
NP : sons
NP : south
NP : sparrow
NP : sparrows
NP : square
NP : stannis
NP : stannis baratheon
NP : stark
NP : starks
NP : steelshanks
NP : stone mill
NP : storm
NP : stormlands
NP : stranger
NP : styr
NP : styr's
NP : summer
NP : sunspear
NP : syrio
NP : syrio forel
NP : talisa
NP : targaryen
NP : targaryens
NP : tarly
NP : tarth
NP : that arya
NP : that baelish
NP : that bran
NP : that bronn
NP : that daenerys
NP : that eddard
NP : that euron
NP : that frey
NP : that jaime
NP : that jorah
NP : that myrcella
NP : that robb
NP : that sansa
NP : that stannis
NP : that tyrion
NP : that tywin
NP : that yunkai
NP : thenn
NP : theon
NP : theon greyjoy
NP : thin
NP : thin man
NP : thirteen
NP : thorne
NP : thoros
NP : throne
NP : tickler
NP : titan
NP : tommen
NP : tormund
NP : torrhen
NP : torrhen karstark
NP : tower
NP : town
NP : trant
NP : trident
NP : trystane
NP : trystane martell
NP : tully
NP : twins
NP : tycho
NP : tyene
NP : tyrell
NP : tyrells
NP : tyrion
NP : tyrion lannister
NP : tywin
NP : tywin lannister
NP : umber
NP : unsullied
NP : vaes dothrak
NP : vala
NP : valar morghulis
NP : vale
NP : valyria
NP : valyrian
NP : vardis
NP : varys
NP : viper
NP : viserys
NP : volantis
NP : waif
NP : walda
NP : walder
NP : walder frey
NP : walder's
NP : walk
NP : walker
NP : walkers
NP : wall
NP : war
NP : watch
NP : water dancer
NP : water gardens
NP : waynwood
NP : weirwood
NP : weiss
NP : westeros
NP : whispering wood
NP : white
NP : white walker
NP : white walkers
NP : wildfire
NP : wildlings
NP : will
NP : willem
NP : winter
NP : winterfell
NP : wise masters
NP : wun wun
NP : wylis
NP : xaro
NP : yara
NP : yarwyck
NP : yezzan
NP : ygritte
NP : yohn
NP : yoren
NP : young cersei
NP : yunkai
ORGANIZATION : garden of bones
ORGANIZATION : great sept of baelor
ORGANIZATION : hall of faces
ORGANIZATION : mother of dragons
ORGANIZATION : rains of castamere
ORGANIZATION : thoros of myr
ORGANIZATION : walk of punishment
PEOPLE : 
PEOPLE : a
PEOPLE : a dothraki
PEOPLE : a lannister
PEOPLE : a stark
PEOPLE : a tyrell
PEOPLE : a white walker
PEOPLE : aegon
PEOPLE : aemon
PEOPLE : aeron
PEOPLE : aerys
PEOPLE : aerys targaryen
PEOPLE : afterward
PEOPLE : akho
PEOPLE : alliser
PEOPLE : alliser thorne
PEOPLE : alton
PEOPLE : alton lannister
PEOPLE : amory
PEOPLE : amory lorch
PEOPLE : an unsullied
PEOPLE : anguy
PEOPLE : april
PEOPLE : areo
PEOPLE : army
PEOPLE : arry
PEOPLE : arryn
PEOPLE : arya
PEOPLE : arya stark
PEOPLE : astapor
PEOPLE : b
PEOPLE : baelish
PEOPLE : baelor
PEOPLE : balon
PEOPLE : balon greyjoy
PEOPLE : bank
PEOPLE : baratheon
PEOPLE : baratheons
PEOPLE : barristan
PEOPLE : barristan selmy
PEOPLE : bastard
PEOPLE : battle
PEOPLE : bay
PEOPLE : bear
PEOPLE : bear island
PEOPLE : benjen
PEOPLE : beric
PEOPLE : bert
PEOPLE : biter
PEOPLE : black walder
PEOPLE : blackfish
PEOPLE : blackwater
PEOPLE : bolton
PEOPLE : boltons
PEOPLE : bones
PEOPLE : book
PEOPLE : both thorne
PEOPLE : bowen
PEOPLE : braavos
PEOPLE : braavosi
PEOPLE : bran
PEOPLE : bran stark
PEOPLE : brienne
PEOPLE : broken tower
PEOPLE : bronn
PEOPLE : brotherhood
PEOPLE : brotherhood without banners
PEOPLE : brothers
PEOPLE : brynden
PEOPLE : casterly rock
PEOPLE : castle
PEOPLE : castle black
PEOPLE : cat
PEOPLE : catelyn
PEOPLE : catelyn stark
PEOPLE : cersei
PEOPLE : children
PEOPLE : citadel
PEOPLE : city watch
PEOPLE : clegane
PEOPLE : commander
PEOPLE : conquer
PEOPLE : corbray
PEOPLE : council
PEOPLE : craster
PEOPLE : cressen
PEOPLE : cripples
PEOPLE : crossroads inn
PEOPLE : crown
PEOPLE : daario
PEOPLE : daenerys
PEOPLE : daenerys targaryen
PEOPLE : daenerys'
PEOPLE : dagmer
PEOPLE : daisy
PEOPLE : dance
PEOPLE : dany
PEOPLE : david benioff
PEOPLE : davos
PEOPLE : dayne
PEOPLE : dead
PEOPLE : deepwood motte
PEOPLE : dondarrion
PEOPLE : dontos
PEOPLE : doran
PEOPLE : doreah
PEOPLE : dorne
PEOPLE : dornish
PEOPLE : dosh khaleen
PEOPLE : dothraki
PEOPLE : dragons
PEOPLE : dragonstone
PEOPLE : dreadfort
PEOPLE : drogo
PEOPLE : drogon
PEOPLE : drowned god
PEOPLE : duur
PEOPLE : edd
PEOPLE : eddard
PEOPLE : eddard stark
PEOPLE : eddison
PEOPLE : edmure
PEOPLE : egg
PEOPLE : elia
PEOPLE : ellaria
PEOPLE : ellaria sand
PEOPLE : euron
PEOPLE : euron greyjoy
PEOPLE : eyrie
PEOPLE : faceless men
PEOPLE : faith
PEOPLE : faith militant
PEOPLE : fennesz
PEOPLE : fingers
PEOPLE : first men
PEOPLE : first white walker
PEOPLE : fist
PEOPLE : five kings
PEOPLE : flea bottom
PEOPLE : ford
PEOPLE : forest
PEOPLE : free cities
PEOPLE : free folk
PEOPLE : frey
PEOPLE : freys
PEOPLE : gardens
PEOPLE : gared
PEOPLE : gendry
PEOPLE : ghost
PEOPLE : gift
PEOPLE : gilly
PEOPLE : gods
PEOPLE : grand
PEOPLE : great
PEOPLE : great houses
PEOPLE : great masters
PEOPLE : great sept
PEOPLE : greatjon
PEOPLE : gregor
PEOPLE : gregor clegane
PEOPLE : grenn
PEOPLE : grey wind
PEOPLE : grey worm
PEOPLE : greyjoy
PEOPLE : halfhand
PEOPLE : hallyne
PEOPLE : hand
PEOPLE : hardhome
PEOPLE : harpy
PEOPLE : harrenhal
PEOPLE : her khalasar
PEOPLE : high
PEOPLE : high hall
PEOPLE : high septon
PEOPLE : high sparrow
PEOPLE : highgarden
PEOPLE : hizdahr
PEOPLE : hobb
PEOPLE : hodor
PEOPLE : hoster
PEOPLE : hoster tully
PEOPLE : hot pie
PEOPLE : hotah
PEOPLE : hound
PEOPLE : howland
PEOPLE : ice
PEOPLE : iggo
PEOPLE : illyrio
PEOPLE : ilyn payne
PEOPLE : imp
PEOPLE : iron
PEOPLE : iron bank
PEOPLE : iron islands
PEOPLE : iron throne
PEOPLE : ironborn
PEOPLE : irri
PEOPLE : jaime
PEOPLE : jaime lannister
PEOPLE : jamie
PEOPLE : janos
PEOPLE : janos slynt
PEOPLE : jaqen
PEOPLE : jaqen h'ghar
PEOPLE : jeor
PEOPLE : jeor mormont
PEOPLE : joffrey
PEOPLE : jojen
PEOPLE : jon
PEOPLE : jon arryn
PEOPLE : jon sn
PEOPLE : jon snow
PEOPLE : jorah
PEOPLE : jorah mormont
PEOPLE : jory
PEOPLE : jory cassel
PEOPLE : joyeuse
PEOPLE : karl
PEOPLE : karsi
PEOPLE : karstark
PEOPLE : karstarks
PEOPLE : keep
PEOPLE : kevan
PEOPLE : khal
PEOPLE : khal drogo
PEOPLE : khal moro
PEOPLE : kin
PEOPLE : king aerys
PEOPLE : king joffrey
PEOPLE : king joffrey baratheon
PEOPLE : king renly
PEOPLE : king robb
PEOPLE : king robert
PEOPLE : king robert baratheon
PEOPLE : king stannis
PEOPLE : kingdom
PEOPLE : kingsguard
PEOPLE : kingsroad
PEOPLE : kinvara
PEOPLE : kraznys
PEOPLE : lady
PEOPLE : lady crane
PEOPLE : lady lysa arryn
PEOPLE : lady olenna
PEOPLE : lancel
PEOPLE : lancel lannister
PEOPLE : landing
PEOPLE : lanna
PEOPLE : lannister
PEOPLE : lannisters
PEOPLE : last targaryen
PEOPLE : later
PEOPLE : leaf
PEOPLE : lhazareen
PEOPLE : light
PEOPLE : littlefinger
PEOPLE : loboda
PEOPLE : locke
PEOPLE : lollys
PEOPLE : lommy
PEOPLE : long bridge
PEOPLE : longclaw
PEOPLE : loraq
PEOPLE : loras
PEOPLE : lorch
PEOPLE : lord bolton
PEOPLE : lord commander
PEOPLE : lord commander jeor mormont
PEOPLE : lord commander mormont
PEOPLE : lord eddard
PEOPLE : lord eddard stark
PEOPLE : lord protector
PEOPLE : lord renly
PEOPLE : lord rickard
PEOPLE : lord royce
PEOPLE : lord selwyn
PEOPLE : lord snow
PEOPLE : lord tywin
PEOPLE : lord walder
PEOPLE : lord yohn
